experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,agent,correct
adult_ex4_prior,f8ccb11af6d22cf59a7735dbfde832d3,4,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,f8ccb11af6d22cf59a7735dbfde832d3,5,novelty,strong,different_speaker,Tiger,1
adult_ex4_prior,f8ccb11af6d22cf59a7735dbfde832d3,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,fa99ed6fc6eef9c03e6f2a5b764dbc5f,1,novelty,strong,same_speaker,Cat,1
adult_ex4_prior,fa99ed6fc6eef9c03e6f2a5b764dbc5f,2,novelty,strong,different_speaker,Cat,1
adult_ex4_prior,fa99ed6fc6eef9c03e6f2a5b764dbc5f,3,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,fa99ed6fc6eef9c03e6f2a5b764dbc5f,4,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,fa99ed6fc6eef9c03e6f2a5b764dbc5f,5,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,fa99ed6fc6eef9c03e6f2a5b764dbc5f,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,fd323b90772ff71be5edb33312290653,1,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,fd323b90772ff71be5edb33312290653,2,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,fd323b90772ff71be5edb33312290653,3,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,fd323b90772ff71be5edb33312290653,4,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,fd323b90772ff71be5edb33312290653,5,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,fd323b90772ff71be5edb33312290653,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,09a403b7024081b7ca8bbd069a46e214,1,preference,strong,different_speaker,Tiger,1
adult_ex4_prior,09a403b7024081b7ca8bbd069a46e214,2,preference,strong,same_speaker,Dog,1
adult_ex4_prior,09a403b7024081b7ca8bbd069a46e214,3,preference,strong,different_speaker,Dog,0
adult_ex4_prior,09a403b7024081b7ca8bbd069a46e214,4,preference,strong,same_speaker,Sheep,1
adult_ex4_prior,09a403b7024081b7ca8bbd069a46e214,5,preference,strong,same_speaker,Sheep,1
adult_ex4_prior,09a403b7024081b7ca8bbd069a46e214,6,preference,strong,different_speaker,Sheep,0
adult_ex4_prior,0ae883f58a548c7ad0cfc6d48ef9f36d,1,preference,strong,different_speaker,Sheep,0
adult_ex4_prior,0ae883f58a548c7ad0cfc6d48ef9f36d,2,preference,strong,same_speaker,Bear,1
adult_ex4_prior,0ae883f58a548c7ad0cfc6d48ef9f36d,3,preference,strong,same_speaker,Bear,1
adult_ex4_prior,0ae883f58a548c7ad0cfc6d48ef9f36d,4,preference,strong,different_speaker,Bear,1
adult_ex4_prior,0ae883f58a548c7ad0cfc6d48ef9f36d,5,preference,strong,same_speaker,Tiger,1
adult_ex4_prior,0ae883f58a548c7ad0cfc6d48ef9f36d,6,preference,strong,different_speaker,Tiger,0
adult_ex4_prior,1a3ec53d8a1e1db54f908ab2555e8205,1,preference,strong,same_speaker,Tiger,1
adult_ex4_prior,1a3ec53d8a1e1db54f908ab2555e8205,2,preference,strong,different_speaker,Tiger,1
